,Incident_Number,CreateDatetime,Call_Type,Source,Progress,Priority,Dispositions,Block_Address,City,ZIP_Code,NonBerkeley_Address,ObjectId_x,Statute,Statute_Description,Statute_Type,Arrest_Type,Age,Height,Race,Sex,Weight,Case_Number,ObjectId_y
49,2025-00044024,2025/09/28 03:06:11+00,CFS 1181 - Minor Injuries,911 Call,In Progress,Level 1,"Collision Report, Primary Case (Case or Cold Theft), Arrest only (no Case)",2600 10TH ST,BERKELEY,94710.0,,1752,23152 (A); 273A (A) - F; 243(B) (Simp.); 148(A)(1); 69 - F (Agg.),DUI ALCOHOL; WILLFUL CRUELTY TO CHILD: AGGRAVATED INJURY OR DEATH; BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH; OBSTRUCT/RESIST EXECUTIVE OFFICER (AGGRAVATED),Vehicle Code; Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,34,5 ft. 2 in.,Other,Female,108.0,2025-00044024,60
50,2025-00043915,2025/09/27 11:19:01+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Primary Case (Case or Cold Theft), RIPA",SAN PABLO AVE  &  DERBY ST,BERKELEY,94702.0,,1754,23152 (B),DUI ALCOHOL/0.08 PERCENT,Vehicle Code,On-View Arrest IBR,29,5 ft. 8 in.,Black,Male,150.0,2025-00043915,67
51,2025-00044140,2025/09/28 22:06:06+00,CFS SUSPER - Susp. Person,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1600 DERBY ST,BERKELEY,94703.0,,1769,647(I); 647(H); 166 (A)(4),PEEK INTO INHABITED BUILDING W/LOITERING; DISORDERLY CONDUCT:LOITER/ETC PRIVATE PROPERTY; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,32,6 ft. 0 in.,Black,Male,160.0,2025-00044140,53
52,2025-00043905,2025/09/27 09:08:50+00,CFS SUSPER - Susp. Person,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),1700 ADDISON ST,BERKELEY,94703.0,,1816,647(F); 148.9 (A),DISORDERLY CONDUCT:ALCOHOL; GIVE FALSE ID TO POLICE OFFICER,Penal Code; Penal Code,On-View Arrest IBR,61,6 ft. 0 in.,Black,Male,150.0,2025-00043905,70
53,2025-00043980,2025/09/27 21:02:43+00,CFS 273 5 - Domestic Violence,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2700 SAN PABLO AVE,BERKELEY,94702.0,,1851,1203.2 - F; Warr - BPD (F); 11364(A); 273.5 - Agg; 207(A),PROBATION VIOLATION: REARREST/REVOKE; Felony Warrant; POSSESS UNLAWFUL PARAPHERNALIA; CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON; KIDNAPPING,Penal Code; Penal Code; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,43,6 ft. 0 in.,Black,Male,230.0,2025-00043980,64
54,2025-00043466,2025/09/25 05:53:56+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),2500 ACTON ST,BERKELEY,94702.0,,2032,273A (A) - F,WILLFUL CRUELTY TO CHILD: AGGRAVATED INJURY OR DEATH,Penal Code,On-View Arrest IBR,57,5 ft. 11 in.,Black,Male,192.0,2025-00043466,129
55,2025-00043791,2025/09/26 22:54:12+00,CFS 484 - Theft,Officer Initiated,In Progress,Level 2,Primary Case (Case or Cold Theft),1400 UNIVERSITY AVE,BERKELEY,94702.0,,2054,666.1(A)(1) (F); 484 (A),All other larceny: FELONY THEFT WITH 2 PRIOR; PETTY THEFT (ALL OTHER),Penal Code; Penal Code,On-View Arrest IBR,62,5 ft. 7 in.,Black,Female,180.0,2025-00043791,76
56,2025-00043792,2025/09/26 22:49:54+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Primary Case (Case or Cold Theft),700 HARRISON ST,BERKELEY,94710.0,,2056,1203.2 - F; 602(O),PROBATION VIOLATION: REARREST/REVOKE; TRESPASS:REFUSE TO LEAVE PROPERTY,Penal Code; Penal Code,On-View Arrest IBR,32,6 ft. 5 in.,Black,Male,171.0,2025-00043792,80
57,2025-00043777,2025/09/26 21:36:10+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",700 UNIVERSITY AVE,BERKELEY,94710.0,,2067,Warr - BPD (M); 11377 (A) - M; 11364(A),Misdemeanor Warrant; POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Health and Safety; Health and Safety,On-View Arrest IBR,44,5 ft. 9 in.,Other,Male,220.0,2025-00043777,83
58,2025-00043566,2025/09/25 20:57:15+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), RIPA",GILMAN ST  &  2ND ST,BERKELEY,94710.0,,2151,Warr - Out (F); Warr - Out (F),Outside Warrant Felony; Outside Warrant Felony,Penal Code; Penal Code,Taken into Custody IBR,32,6 ft. 0 in.,Black,Male,215.0,2025-00043566,99
59,2025-00043729,2025/09/26 16:25:54+00,CFS SUSPER - Susp. Person,Telephone,Cold Report,Level 3,Primary Case (Case or Cold Theft),2000 5TH ST,BERKELEY,94710.0,,2155,1203.2 - F; 530.5 (A); 166 (A)(4); 459,PROBATION VIOLATION: REARREST/REVOKE; GET CREDIT/ETC OTHER'S ID BY IMPERSONATION; CONTEMPT OF COURT: DISOBEY COURT ORDER; BURGLARY - BREAKING AND ENTERING,Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,42,5 ft. 4 in.,Hispanic,Female,180.0,2025-00043729,58
60,2025-00043459,2025/09/25 05:21:41+00,CFS 417 - Brandishing Weapon,Telephone,In Progress,Level 1,"Homeless, Primary Case (Case or Cold Theft)",SACRAMENTO ST  &  ASHBY AVE,BERKELEY,94702.0,,2181,417 (A)(1) - M; 422 (A) - F,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM; THREATEN CRIME WITH INTENT TO TERRORIZE,Penal Code; Penal Code,On-View Arrest IBR,67,6 ft. 2 in.,Black,Male,175.0,2025-00043459,132
61,2025-00043455,2025/09/25 04:58:23+00,CFS 273 5 - Domestic Violence,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",3000 SAN PABLO AVE,BERKELEY,94702.0,,2205,273.5 - Simp,CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON,Penal Code,On-View Arrest IBR,50,5 ft. 10 in.,Black,Male,165.0,2025-00043455,136
62,2025-00043455,2025/09/25 04:58:23+00,CFS 273 5 - Domestic Violence,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",3000 SAN PABLO AVE,BERKELEY,94702.0,,2205,273.5 - Simp,CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON,Penal Code,On-View Arrest IBR,40,5 ft. 8 in.,Black,Female,220.0,2025-00043455,139
63,2025-00043456,2025/09/25 04:16:59+00,CFS 1042 - Welfare Check,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2400 DOWLING PL,BERKELEY,94705.0,,2220,653M (A) - Annoy,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,Penal Code,On-View Arrest IBR,47,6 ft. 1 in.,White,Male,175.0,2025-00043456,142
64,2025-00043551,2025/09/25 19:05:36+00,CFS SUSCIR - Susp. Circ.,911 Call,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1300 UNIVERSITY AVE,BERKELEY,94702.0,,2223,242,BATTERY ON PERSON,Penal Code,Summoned/Cited IBR,58,5 ft. 6 in.,Black,Male,226.0,2025-00043551,102
65,2025-00043551,2025/09/25 19:05:36+00,CFS SUSCIR - Susp. Circ.,911 Call,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1300 UNIVERSITY AVE,BERKELEY,94702.0,,2223,422 (A) - F,THREATEN CRIME WITH INTENT TO TERRORIZE,Penal Code,Summoned/Cited IBR,68,5 ft. 10 in.,Black,Male,150.0,2025-00043551,105
66,2025-00043554,2025/09/25 18:56:07+00,CFS 273 5 - Domestic Violence,Telephone,Cold Report,Level 2,Primary Case (Case or Cold Theft),1500 RUSSELL ST,BERKELEY,94703.0,,2243,1203.2 - F; 236; 484 (A); 273.5 - Agg; 4573.5,PROBATION VIOLATION: REARREST/REVOKE; False Imprisonment; PETTY THEFT (ALL OTHER); CORPORAL INJURY ON SPOUSE/COHABITANT/CHILD IN COMMON; BRING ALCOHOL/DRUGS/ETC INTO PRISON/JAIL/ETC,Penal Code; Penal Code; Penal Code; Penal Code; Penal Code,On-View Arrest IBR,32,5 ft. 8 in.,Hispanic,Male,150.0,2025-00043554,110
67,2025-00043541,2025/09/25 18:33:46+00,CFS 242 - Battery,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),2700 MILVIA ST,BERKELEY,94703.0,,2256,245 (A)(1) - F; 148(A)(1),ASSAULT W/DEADLY WEAPON:NOT F/ARM; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code,On-View Arrest IBR,61,6 ft. 1 in.,Black,Male,198.0,2025-00043541,113
68,2025-00043534,2025/09/25 17:49:06+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1400 UNIVERSITY AVE,BERKELEY,94702.0,,2262,666.1(A)(1) (F); Warr - BPD (F); 484 (A); 11377 (A) - M; 11364(A); 166 (A)(4),Motor vehicle theft: FELONY THEFT WITH 2 PRIOR; Felony Warrant; PETTY THEFT (ALL OTHER); POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Penal Code; Health and Safety; Health and Safety; Penal Code,On-View Arrest IBR,59,5 ft. 6 in.,Black,Male,158.0,2025-00043534,116
69,2025-00043530,2025/09/25 17:16:22+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, RIPA, Arrest only (no Case)",2000 CENTER ST,BERKELEY,94704.0,,2268,Warr - BPD (M),Misdemeanor Warrant,Penal Code,On-View Arrest IBR,35,6 ft. 3 in.,Black,Male,140.0,2025-00043530,120
70,2025-00043743,2025/09/26 19:11:19+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",2200 SHATTUCK AVE,BERKELEY,94704.0,,2282,Warr - Out (M); Warr - BPD (M); 11364(A),Outside Warrant Misdemeanor; Misdemeanor Warrant; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Penal Code; Health and Safety,Taken into Custody IBR,43,5 ft. 9 in.,White,Male,150.0,2025-00043743,86
71,2025-00043442,2025/09/25 02:50:57+00,CFS 484 - Theft,Telephone,Cold Report,Level 4,Primary Case (Case or Cold Theft),1500 MARTIN LUTHER KING JR WAY,BERKELEY,94709.0,,2288,647(H); 484 (A); 166 (A)(4),DISORDERLY CONDUCT:LOITER/ETC PRIVATE PROPERTY; PETTY THEFT (ALL OTHER); CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Penal Code,Taken into Custody IBR,27,5 ft. 7 in.,White,Male,200.0,2025-00043442,96
72,2025-00043687,2025/09/26 10:58:23+00,CFS 1042 - Welfare Check,911 Call,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",SAN PABLO AVE  &  BANCROFT WAY,BERKELEY,94702.0,,2302,23152 (A),DUI ALCOHOL,Vehicle Code,On-View Arrest IBR,31,5 ft. 11 in.,Hispanic,Male,185.0,2025-00043687,91
73,2025-00043624,2025/09/26 03:13:45+00,CFS 273 5 - Domestic Violence,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1100 ADDISON ST,BERKELEY,94702.0,,2325,243 (E)(1) Simp,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Penal Code,On-View Arrest IBR,31,5 ft. 5 in.,Hispanic,Female,140.0,2025-00043624,93
74,2025-00043727,2025/09/26 17:50:50+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1400 UNIVERSITY AVE,BERKELEY,94702.0,,2330,484 (A) - (Shoplift),PETTY THEFT SHOPLIFTING,Penal Code,On-View Arrest IBR,27,5 ft. 11 in.,Black,Female,138.0,2025-00043727,89
75,2025-00043430,2025/09/25 01:22:00+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, Primary Case (Case or Cold Theft), RIPA",2100 MARTIN LUTHER KING JR WAY,BERKELEY,94703.0,,2340,11377 (A) - M; 11364(A),POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety; Health and Safety,On-View Arrest IBR,37,5 ft. 6 in.,Hispanic,Female,90.0,2025-00043430,145
76,2025-00043508,2025/09/25 13:40:18+00,CFS TROV - Rest. Order Vio,911 Call,In Progress,Level 1,"Primary Case (Case or Cold Theft), RIPA",2400 DOWLING PL,BERKELEY,94705.0,,2367,646.9(B); 273.6(A),STALKING:TEMPORARY RESTRAINING ORDER/ETC; VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,Penal Code; Penal Code,On-View Arrest IBR,47,6 ft. 1 in.,White,Male,175.0,2025-00043508,123
77,2025-00043489,2025/09/25 08:23:46+00,CFS 415 - Disturbance,911 Call,In Progress,Level 2,Incident Report,1500 MARTIN LUTHER KING JR WAY,BERKELEY,94709.0,,2386,647(H),DISORDERLY CONDUCT:LOITER/ETC PRIVATE PROPERTY,Penal Code,On-View Arrest IBR,27,5 ft. 7 in.,White,Male,200.0,2025-00043489,126
78,2025-00043368,2025/09/24 19:26:34+00,CFS FLAG - Flag Down,Officer Initiated,In Progress,Level 1,Primary Case (Case or Cold Theft),2500 TELEGRAPH AVE,BERKELEY,94704.0,,2406,211,ROBBERY,Penal Code,On-View Arrest IBR,37,5 ft. 9 in.,White,Male,180.0,2025-00043368,173
79,2025-00043377,2025/09/24 19:17:13+00,CFS 243 - Serious Battery,Telephone,Just Prior,Level 1,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",2000 5TH ST,BERKELEY,94710.0,,2408,148.9 (A),GIVE FALSE ID TO POLICE OFFICER,Penal Code,Summoned/Cited IBR,31, ft.  in.,Black,Male,,2025-00043377,175
80,2025-00043362,2025/09/24 19:06:59+00,CFS 1194B - Bike Stop,Officer Initiated,In Progress,Level 0,"Homeless, Primary Case (Case or Cold Theft), RIPA",1900 CENTER ST,BERKELEY,94704.0,,2411,Warr - Out (F); Warr - Out (F); Warr - Out (F); Warr - Out (F); 11377 (A) - M; 11364(A),Outside Warrant Felony; Outside Warrant Felony; Outside Warrant Felony; Outside Warrant Felony; POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Penal Code; Penal Code; Penal Code; Health and Safety; Health and Safety,On-View Arrest IBR,38,6 ft. 0 in.,White,Male,164.0,2025-00043362,177
81,2025-00043225,2025/09/24 00:15:20+00,CFS 484 - Theft,Telephone,In Progress,Level 2,"Primary Case (Case or Cold Theft), RIPA",1400 UNIVERSITY AVE,BERKELEY,94702.0,,2485,666.1(A)(1) (F); 484 (A) - (building); 166 (A)(4),Motor vehicle theft: FELONY THEFT WITH 2 PRIOR; PETTY THEFT OF PROPERTY FROM BUILDING; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,38,5 ft. 6 in.,Black,Male,160.0,2025-00043225,190
82,2025-00043415,2025/09/24 23:35:26+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,2509,484 (A),PETTY THEFT (ALL OTHER),Penal Code,Summoned/Cited IBR,71,5 ft. 2 in.,Black,Female,100.0,2025-00043415,166
83,2025-00043321,2025/09/24 14:54:43+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",2100 CENTER ST,BERKELEY,94704.0,,2520,1203.2 - F; Warr - BPD (M); 11377 (A) - M; 11364(A),PROBATION VIOLATION: REARREST/REVOKE; Misdemeanor Warrant; POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Penal Code; Health and Safety; Health and Safety,On-View Arrest IBR,47,5 ft. 11 in.,Black,Male,180.0,2025-00043321,179
84,2025-00043412,2025/09/24 23:22:07+00,CFS 1042 - Welfare Check,911 Call,In Progress,Level 2,"RIPA, Arrest only (no Case), Mental Health, Primary Case (Case or Cold Theft)",FAIRVIEW ST  &  ADELINE ST,BERKELEY,94703.0,,2532,381B; 148(A)(1),POSSESS NITROUS OXIDE; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code,On-View Arrest IBR,36,5 ft. 2 in.,White,Female,135.0,2025-00043412,169
85,2025-00043264,2025/09/24 04:09:08+00,CFS SUSPER - Susp. Person,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),2100 SHATTUCK AVE,BERKELEY,94704.0,,2533,484 (A); 11364(A),PETTY THEFT (ALL OTHER); POSSESS UNLAWFUL PARAPHERNALIA,Penal Code; Health and Safety,On-View Arrest IBR,32,5 ft. 4 in.,White,Female,160.0,2025-00043264,188
86,2025-00043219,2025/09/23 23:45:23+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"RIPA, Arrest only (no Case), Homeless, Primary Case (Case or Cold Theft)",7TH ST  &  HARRISON ST,BERKELEY,94710.0,,2540,1203.2 - F; 166 (A)(4),PROBATION VIOLATION: REARREST/REVOKE; CONTEMPT OF COURT: DISOBEY COURT ORDER,Penal Code; Penal Code,On-View Arrest IBR,41,6 ft. 1 in.,White,Male,160.0,2025-00043219,192
87,2025-00043112,2025/09/23 15:41:40+00,CFS FLAG - Flag Down,Officer Initiated,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",1800 UNIVERSITY AVE,BERKELEY,94703.0,,2584,484 (A); 166 (A)(4); 148(A)(1),PETTY THEFT (ALL OTHER); CONTEMPT OF COURT: DISOBEY COURT ORDER; OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,40,6 ft. 3 in.,White,Male,220.0,2025-00043112,200
88,2025-00043309,2025/09/24 09:57:42+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft), RIPA",UNIVERSITY AVE  &  SACRAMENTO ST,BERKELEY,94702.0,,2593,23152 (B); 23152 (A),DUI ALCOHOL/0.08 PERCENT; DUI ALCOHOL,Vehicle Code; Vehicle Code,Summoned/Cited IBR,30,4 ft. 11 in.,Hispanic,Male,58.0,2025-00043309,182
89,2025-00043299,2025/09/24 07:49:18+00,CFS T - Traffic Stop,Officer Initiated,In Progress,Level 0,"Arrest only (no Case), Primary Case (Case or Cold Theft)",UNIVERSITY AVE  &  ACTON ST,BERKELEY,94702.0,,2599,11377 (A) - M; 23152(G),POSSESS CONTROLLED SUBSTANCE; DUI COMBINED ALCOHOL AND DRUG,Health and Safety; Vehicle Code,On-View Arrest IBR,19,5 ft. 7 in.,Hispanic,Female,180.0,2025-00043299,184
90,2025-00043286,2025/09/24 05:36:26+00,CFS 415 - Disturbance,Telephone,Cold Report,Level 4,"Arrest only (no Case), Primary Case (Case or Cold Theft)",600 ARLINGTON AVE,BERKELEY,94707.0,,2620,594(A)(1),VANDALISM:DEFACE PROPERTY,Penal Code,On-View Arrest IBR,23,6 ft. 1 in.,Other,Male,130.0,2025-00043286,186
91,2025-00043210,2025/09/23 23:14:38+00,CFS 602L - Trespassing,911 Call,In Progress,Level 3,"Homeless, Arrest only (no Case)",1700 SAN PABLO AVE,BERKELEY,94702.0,,2632,Warr - BPD (M); Warr - BPD (M); Warr - BPD (M),Misdemeanor Warrant; Misdemeanor Warrant; Misdemeanor Warrant,Penal Code; Penal Code; Penal Code,Taken into Custody IBR,61,5 ft. 6 in.,White,Female,128.0,2025-00043210,194
92,2025-00043157,2025/09/23 18:50:14+00,CFS 484 - Theft,Telephone,In Progress,Level 2,Primary Case (Case or Cold Theft),1400 UNIVERSITY AVE,BERKELEY,94702.0,,2649,666.1(A)(1) (F); 484 (A) - (building),Motor vehicle theft: FELONY THEFT WITH 2 PRIOR; PETTY THEFT OF PROPERTY FROM BUILDING,Penal Code; Penal Code,On-View Arrest IBR,39,5 ft. 11 in.,Black,Male,152.0,2025-00043157,199
93,2025-00043401,2025/09/24 22:25:23+00,CFS 484 - Theft,Telephone,Cold Report,Level 4,Primary Case (Case or Cold Theft),1200 UNIVERSITY AVE,BERKELEY,94702.0,,2661,1203.2 - F; 487 (A); 459,PROBATION VIOLATION: REARREST/REVOKE; GRAND THEFT (ALL OTHER); BURGLARY - BREAKING AND ENTERING,Penal Code; Penal Code; Penal Code,On-View Arrest IBR,43,6 ft. 0 in.,Black,Male,230.0,2025-00043401,65
94,2025-00043192,2025/09/23 22:02:18+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"RIPA, MDT Narrative Only, Homeless, Primary Case (Case or Cold Theft)",4TH ST  &  UNIVERSITY AVE,BERKELEY,94710.0,,2691,11377 (A) - M; 11364(A),POSSESS CONTROLLED SUBSTANCE; POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety; Health and Safety,On-View Arrest IBR,33,5 ft. 6 in.,White,Female,175.0,2025-00043192,197
95,2025-00043190,2025/09/23 21:52:32+00,CFS SEC - Security Check,Officer Initiated,In Progress,Level 4,"Primary Case (Case or Cold Theft), RIPA",4TH ST  &  UNIVERSITY AVE,BERKELEY,94710.0,,2697,11364(A),POSSESS UNLAWFUL PARAPHERNALIA,Health and Safety,On-View Arrest IBR,38,5 ft. 11 in.,Black,Male,180.0,2025-00043190,198
96,2025-00043039,2025/09/23 03:59:23+00,CFS 415F - Family Disturbance,911 Call,In Progress,Level 1,Primary Case (Case or Cold Theft),1200 BLAKE ST,BERKELEY,94702.0,,2702,211; 594(A)(2); 11350 (A) - F; 11351; 591.5; 69 - F (Agg.),ROBBERY FIRST DEGREE HOME INVASION; VANDALISM:DAMAGE PROPERTY; POSSESS NARCOTIC CONTROLLED SUBSTANCE; POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE; DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE; OBSTRUCT/RESIST EXECUTIVE OFFICER (AGGRAVATED),Penal Code; Penal Code; Health and Safety; Health and Safety; Penal Code; Penal Code,On-View Arrest IBR,26,6 ft. 2 in.,White,Male,195.0,2025-00043039,201
97,2025-00043023,2025/09/23 02:16:04+00,CFS 1194 - Pedestrian Stop,Officer Initiated,In Progress,Level 0,"Homeless, RIPA, Arrest only (no Case)",1900 CENTER ST,BERKELEY,94704.0,,2796,Warr - BPD (F); Warr - BPD (F),Felony Warrant; Felony Warrant,Penal Code; Penal Code,Taken into Custody IBR,73,5 ft. 9 in.,White,Male,141.0,2025-00043023,1
98,2025-00042877,2025/09/22 10:06:49+00,CFS 1053 - Person Down,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2900 DWIGHT WAY,BERKELEY,94704.0,,2801,647(F),DISORDERLY CONDUCT:ALCOHOL,Penal Code,On-View Arrest IBR,38,5 ft. 8 in.,Black,Male,187.0,2025-00042877,10
99,2025-00042877,2025/09/22 10:06:49+00,CFS 1053 - Person Down,911 Call,In Progress,Level 1,"Arrest only (no Case), Primary Case (Case or Cold Theft)",2900 DWIGHT WAY,BERKELEY,94704.0,,2801,647(F),DISORDERLY CONDUCT:ALCOHOL,Penal Code,On-View Arrest IBR,21,6 ft. 0 in.,Black,Male,265.0,2025-00042877,11
